name,Eligibility,Region,Deadline,Award,Description,Email,Contact Number,link,category,Links,contactDetails
AICTE Doctoral Fellowship (ADF) Scheme 2024-25,Students pursuing Ph.D. degree in all AICTE-approved fields,India,Always Open,"A monthly fellowship of up to ₹42,000, an annual contingency grant of ₹15,000, and HRA as per govt. norms","AICTE Doctoral Fellowship (ADF) Scheme 2024-25 is a program launched by the All India Council for Technical Education (AICTE) for full-time research scholars pursuing doctoral degrees in the specified degree programs under AICTE's purview. The fellowship aims to cultivate a strong research and knowledge culture within AICTE institutions by developing a robust ecosystem. Selected candidates will receive a monthly fellowship of up to ₹42,000, an annual contingency grant of ₹15,000 and HRA as per the government rules.Source:All India Council of Technical Education (AICTE)",Null,Null,https://www.aicte-india.org/,monetary,"{'Latest scholarship link': 'https://www.aicte-india.org/schemes/students-development-schemes', 'Apply online link': 'https://www.aicte-india.org/'}","All India Council for Technical Education (AICTE)
Nelson Mandela Marg
Vasant Kunj
New Delhi-110070
Phone Number:
(011) 26131576/78/80"
Manchester Humanities International Excellence Scholarship 2024,Students admitted to postgraduate courses at the University of Manchester,United Kingdom,Always Open,"A tuition fee discount of up to £5,000 (approx. ₹4,17,138.75)","Manchester Humanities International Excellence Scholarship 2024 is an opportunity provided by the University of Manchester to students enrolled in postgraduate courses at the university. Selected candidates will receive a tuition fee discount of up to £5,000 (approx. ₹4,17,138.75).Source:University of Manchester",study@manchester.ac.uk,16130 66000,https://www.manchester.ac.uk/,mixed,"{'Apply online link': 'https://www.manchester.ac.uk/study/international/finance-and-scholarships/funding/manchester-humanities-international-excellence-scholarship/', 'Original website': 'https://www.manchester.ac.uk/'}","The University of Manchester
Oxford Road
Manchester
M13 9PL
Email ID:
study@manchester.ac.uk.
| Phone Number:
(+44 0) 16130 66000"
AICTE Yashasvi (Young Achievers' Scholarship & Holistic Academic Skills Venture Initiative) Scheme 2024,First-year Diploma/degree Engineering students,India,Always Open,"An annual scholarship of up to ₹18,000 for every year of study","AICTE Yashasvi (Young Achievers' Scholarship & Holistic Academic Skills Venture Initiative) Scheme 2024 is an opportunity offered by the All India Council of Technical Education (AICTE) to students admitted to the first year of a degree or diploma program in a core engineering branch at an AICTE-approved institution. This scheme aims to motivate students to pursue technical education in core engineering fields in Civil, Chemical, Electrical, Electronics, and Mechanical courses at AICTE-approved institutions.Selected candidates will receive an annual scholarship of ₹18,000 for every year of study.Source:All India Council of Technical Education (AICTE)",Null,26131576-78,https://aicte-india.org/schemes/students-development-schemes,monetary,"{'Apply online link': 'https://scholarships.gov.in/', 'Original website': 'https://aicte-india.org/schemes/students-development-schemes', 'Others': 'https://www.aicte-india.org/sites/default/files/AICTE%20YASHASVI%20Scheme%20Guidelines.pdf'}","All India Council of Technical Education (AICTE)
Nelson Mandela Marg,
Vasant Kunj, New Delhi-110070
Phone Number:
(011)-26131576-78,80"
National Commission for Women Internship 2024,Students enrolled in LLB/LLM/M.Phil/MA/M.Sc./Ph.D. courses,India,Always Open,"A monthly stipend of up to ₹10,000","National Commission for Women Internship 2024 is an opportunity provided by the National Commission for Women to female students enrolled in UG and PG degrees in law and other specified courses. The internship programme aims to effectively disseminate knowledge and information on women's issues, with the goal of building a pool of trained personnel. The internship will be offered under three categories: Scheme A, Scheme B & Scheme C. Selected interns will be eligible for paid internships with a monthly stipend of up to ₹10,000, based on the internship category they are assigned to.Source:National Commission for Women",sro-ncw@nic.in,Null,https://ncwapps.nic.in/,monetary,"{'Original website': 'https://ncwapps.nic.in/', 'Apply online link': 'https://ncwapps.nic.in/ncwinternship/frmInstructions.aspx'}","National Commission for Women
Plot-21, Jasola Institutional Area
New Delhi - 110025
Email Id:
sro-ncw@nic.in
| Phone Number:
(011) 26942369, 26944740, 26944754"
Voluntary Internship Scheme for Law Students 2024,Students pursuing undergraduate law courses,India,Always Open,Certificate of internship by ILDR,"Voluntary Internship Scheme for Law Students 2024 is an initiative of the Institute of Legislative Drafting and Research (ILDR) for students pursuing undergraduate law courses. The purpose of the scheme is to spark students' interest in legislative drafting as a profession. The scheme would help students enhance their legislative drafting skills and secure knowledge about the nature and workings of the Legislative Department. Selected interns will receive a certificate of internship from ILDR upon successful completion of the internship.Source:Legislative Department, Ministry of Law and Justice",ildr.ld@nic.in,Null,https://legislative.gov.in/,non_monetary,"{'Original website': 'https://legislative.gov.in/', 'Apply online link': 'https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2022/12/2022122398.pdf', 'Others': 'https://legislative.gov.in/forms/'}","Institute of Legislative Drafting and Research (ILDR)
Ministry of Law and Justice Legislative Department
Shastri Bhawan, New Delhi-110 001
Email ID:
ildr.ld@nic.in"
WISE SCOPE Fellowship 2024,Female Scientists and Technologists who have completed Ph.D. or equivalent degree,India,Always Open,"A monthly fellowship of ₹55,000 along with HRA and other benefits","WISE SCOPE Fellowship program 2024 is an opportunity offered by the Department of Science & Technology (DST), Government of India, to female scientists and technologists who have completed Ph.D. degree. This fellowship empowers candidates to leverage their knowledge and expertise in science and technology for societal benefit. Selected candidates will receive a monthly fellowship of ₹ 55,000 along with HRA and other benefits.Source:Department of Science and Technology",enquiry-wosdst@gov.in,Null,,monetary,{},"Department of Science & Technology
Technology Bhavan, New Mehrauli Road,
New Delhi-110 016
Email ID:
enquiry-wosdst@gov.in |
Phone Number:
(+91 11) 26590215"
Wise Fellowship for Ph.D. (WISE-PhD) 2024,Women Ph.D. Applicants,India,Always Open,"₹31,000 and other benefits","Wise Fellowship for Ph.D. (WISE-PhD) is an opportunity offered by the Department of Science and Technology (DST) under the ‘Women in Science and Engineering-KIRAN (WISE-KIRAN)’ scheme. The scheme aims to provide an opportunity to carry out doctoral research in basic and applied sciences to women scientists and technologists between the age group of 27-45 years who want to pursue research in STEM fields as bench-level scientists. The fellowship is offered in five scientific disciplines:Physical & Mathematical SciencesChemical SciencesLife SciencesEarth & Atmospheric SciencesEngineering & TechnologySelected candidates will receive a monthly stipend of ₹31,000 along with other benefits.Source:Department of Science and Technology (DST, Government of India",ws-dst@gov.in,11-26590215,https://dst.gov.in/,monetary,"{'Original website': 'https://dst.gov.in/', 'Apply online link': 'https://onlinedst.gov.in/', 'Latest scholarship link': 'https://online-wosa.gov.in/wisephd.html'}","Department of Science & Technology,
Technology Bhavan, New Mehrauli Road,,
New Delhi-110 016
Email ID:
ws-dst@gov.in |
Telephone Number:
(+91)-11-26590215"
IGNCA Internship Scheme 2024,Students pursuing Graduation/ Postgraduation/ Research within India or Abroad,India,Always Open,"₹10,000 per month","IGNCA Internship Scheme 2024 is an initiative of the Indira Gandhi National Centre for the Arts, Delhi for students pursuing graduation/ postgraduation/ research from any recognized university/institution within India or abroad. This internship aims to provide exposure to various divisions/ units within IGNCA through the empirical collection and collation of in-house and other academic inputs. The interns will have an opportunity to learn about the IGNCA functioning and an opportunity to contribute to policy formulation by generating policy inputs such as research analysis, briefing reports, policy papers, etc. The selected candidates will receive ₹10,000 per month.Source:Indira Gandhi National Centre for the Arts",Null,9599443393,https://ignca.gov.in/,monetary,"{'Original website': 'https://ignca.gov.in/', 'Others': 'https://ignca.gov.in/recruitments/', 'Apply online link': 'https://ignca.gov.in/jobs/Internship0001_13122017.pdf'}","Indira Gandhi National Centre for the Arts (IGNCA)
Janpath Building, Near Western Court, Janpath
New Delhi, Delhi - 110001
Phone Number - (+91) - 9599443393"
Anjum Chopra Sports Scholarship 2024,Women cricketers between the age of 14 and 25 years,India,Always Open,INR 1 lakh per annum and other benefits,"Anjum Chopra Sports Scholarship 2024 is an opportunity offered by PUSH Sports* to women cricketers between the age of 14 and 25 years who are playing for state teams. A total number of 10 athletes will be selected on an annual basis. The selected candidates will receive financial support of ₹1,00,000 per annum towards high-quality training programs and match exposure through domestic and international tours. Additionally, the selected athletes will have the opportunity to train with top coaches at Push Sports Arenas in India for a 12-month period, as well as receive mentorship from Mr. Puru Singh, the former coach of the Delhi Women’s U-23 Team.*PUSH Sports is a private organisation dedicated to promoting women’s and girls’ cricket in India and creating a more equitable balance of gender representation in all aspects of the sport.Source:PUSH Sports",acs@pushsports.in,Null,https://pushsports.in/,monetary,"{'Original website': 'https://pushsports.in/', 'Apply online link': 'https://pushsports.in/anjum-chopra-scholarship-by-push-sports'}","PUSH Sports
Email Id
- acs@pushsports.in"
Directorate General of Trade Remedies (DGTR) Internship Program 2024,Postgraduate students/Research scholars,India,Always Open,A certificate of completion,"Directorate General of Trade Remedies (DGTR) Internship Program 2024 is an opportunity offered by the Ministry of Commerce and Industry, Government of India to postgraduate students/research scholars. The objective of this program is to equip interested and motivated students with the knowledge and skills necessary to understand and engage in Trade Remedies Investigations and Trade Defence Measures. The selected candidates will receive a certificate of completion.Source:Ministry of Commerce and Industry, Government of India",Null,Null,https://commerce.gov.in/,non_monetary,"{'Original website': 'https://commerce.gov.in/', 'Apply online link': 'https://www.dgtr.gov.in/sites/default/files/Intership.pdf'}","Ministry of Commerce and Industry, Government of India
Vanijya Bhawan, New Delhi-110011
Phone Number:
23062261 |
Fax Number:
23063418"
National AIDS Control Organisation (NACO) Internship Programme 2024,"Students pursuing UG, PG, M.Phil. and Ph.D. degree courses",India,Always Open,"A monthly stipend of ₹8,000 and completion certificate","National AIDS Control Organisation (NACO) Internship Programme 2024 is an opportunity offered by the Ministry of Health & Family Welfare, Government of India, for students pursuing undergraduate, postgraduate, M.Phil., and Ph.D. degree courses in various disciplines. The selected interns will receive a monthly stipend of ₹8,000 upon completion of the internship.Source:National AIDS Control Organisation (NACO)",usadmin.dac@gmail.com,Null,https://naco.gov.in/,mixed,"{'Apply online link': 'https://naco.gov.in/sites/default/files/NacoInternship%20Programme.pdf', 'Original website': 'https://naco.gov.in/'}","National AIDS Control Organisation (NACO)
Department of Health & Family Welfare
Government of India
6th & 9th Floor, Chanderlok Building
36, Janpath, New Delhi - 110001
Email ID:
usadmin.dac@gmail.com"
ESSO-NCESS Junior Research Fellowship 2024,CSIR-UGC NET-JRF candidates,India,Always Open,"Up to ₹28,000 per month and other benefits","ESSO-NCESS Junior Research Fellowship 2024 is an initiative of the National Centre for Earth Science Studies (NCESS) under the Earth System Sciences Organization (ESSO), Ministry of Earth Sciences, Government of India, for candidates who have qualified for CSIR-UGC NET-JRF or hold a DST INSPIRE Fellowship. The selected candidates will receive ₹25,000 per month consolidated for the first two years, and ₹28,000 per month for subsequent years along with other benefits.Source:National Centre for Earth Science Studies (NCESS)",adm.ncess@nic.in,Null,https://www.ncess.gov.in/notifications/phd-program.html,monetary,"{'Apply online link': 'http://file:///C:/Users/Buddy4Study/Downloads/Fellowship%20Details%20and%20Aplication%20Form.pdf', 'Original website': 'https://www.ncess.gov.in/notifications/phd-program.html'}","National Centre for Earth Science Studies (NCESS),
Akkulam, Thiruvananthapuram, Kerala – 695011
Email ID:
adm.ncess@nic.in  |
Contact Number:
(0471) 251 1501"
National Disaster Management Authority Internship Scheme 2024,Postgraduate degree students in Disaster Management or equivalent course,India,Always Open,"A monthly remuneration of ₹12,000","National Disaster Management Authority Internship Scheme 2024 is an opportunity offered by the National Disaster Management Authority, Government of India to students enrolled in postgraduate degree in Disaster Management courses and equivalent. The internship is structured as follows:At least ten interns will be inducted during a year.Internship shall be available throughout the year based on requirements of NDMA.The online application window will be open on the NDMA website.The interns will be engaged across various divisions of NDMA.The internship scheme encourages female candidates, students from weaker socioeconomic backgrounds, and from the North-Eastern states to apply.The selected candidates will receive a monthly remuneration of ₹12,000.Source:NDMA, GoI",controlroom@ndma.gov.in,Null,https://ndma.gov.in/,monetary,"{'Latest scholarship link': 'https://ndma.gov.in/sites/default/files/PDF/Jobs/Intern_Scheme_document.pdf', 'Original website': 'https://ndma.gov.in/', 'Apply online link': 'https://ndma.gov.in/Jobs/NDMA'}","National Disaster Management Authority, Government of India
NDMA Bhawan, A-1, Safdarjung Enclave
New Delhi - 110029
Email Id -
controlroom@ndma.gov.in
Telephone Number -
(+91-11)-26701700
(Mon-Fri - 9:30AM-6:00PM)
|
Fax Number -
(+91-11)-26701729"
IIAS Fellowship Award 2023,Research Applicants,India,Always Open,"Up to ₹61,100 per month (consolidated)","IIAS Fellowship Award 2023 is an opportunity offered by the Indian Institute of Advanced Study, Shimla to research applicants. The selected candidate will receive variable awards.Source:Indian Institute of Advanced Study, Shimla",spro@iias.ac.in,Null,http://iias.ac.in/how-to-apply/,monetary,"{'Latest scholarship link': 'http://iias.ac.in/award-of-fellowship/', 'Apply online link': 'http://iias.ac.in/how-to-apply/', 'Others': 'http://iias.ac.in/fellowship-faqs/'}","Indian Institute of Advanced Study
Rashtrapati Nivas, Shimla-171005
Phone- (0177) 2831376, 2832195
Email ID - spro@iias.ac.in"
NIT Delhi Post-Doctoral Fellowship (PDF) Programme 2023-24,PhD degree holders,India,Always Open,"₹60,000 per month plus HRA","NIT Delhi Post-Doctoral Fellowship (PDF) Programme 2023-24 is a research opportunity offered by the National Institute of Technology, Delhi for PhD degree holders. The selected fellows will receive an ₹60,000 per month plus HRA.Source:National Institute of Technology Delhi (NITD)",phdadmission@nitdelhi.ac.in,Null,https://nitdelhi.ac.in/,monetary,"{'Original website': 'https://nitdelhi.ac.in/', 'Apply online link': 'https://nitdelhi.ac.in/wp-content/uploads/2023/05/PDF_-Rolling-Advertisement_2023-24.pdf'}","National Institute of Technology, Delhi
Email ID:
phdadmission@nitdelhi.ac.in |
Phone numbers:
011 – 33861112, 011 – 33861104"
Sanskriti - Pt. Vasant Thakar Memorial Fellowship,Highly talented Indian classical music artists,India,Always Open,"Up to ₹1,00,000","Sanskriti - Pt. Vasant Thakar Memorial Fellowship is an initiative of the Sanskriti Foundation for well-established and highly talented classical music artists. The objective of the Fellowship is to recognize and provide a platform to excellent lesser-known artists and to give them the opportunity to be presented to a larger audience. The selected artists will receive a grant of ₹1,00,000.Source:Sanskriti Foundation",fellowships@sanskritifoundation.org,Null,http://www.sanskritifoundation.org/,monetary,"{'Original website': 'http://www.sanskritifoundation.org/', 'Apply online link': 'http://www.sanskritifoundation.org/Pt-Vasant-Thakar-Memorial-Fellowship.htm'}","Sanskriti Foundation
C-11, Qutab Institutional Area
New Delhi-110016
Email ID:
fellowships@sanskritifoundation.org"
IIT Dhanbad Institute Post Doctoral Fellowship (IPDF) 2023,PhD degree holders,India,Always Open,"Up to ₹63,000 and other benefits","IIT Dhanbad Institute Post Doctoral Fellowship (IPDF) 2023 is a research opportunity offered by the Indian Institute of Technology, Dhanbad to PhD degree holders. Apart from research purposes, the candidate's services will be utilized by the Department for teaching and research assistance in the departmental work including teaching, evaluation, handling tutorials, laboratory classes and research project execution. The selected candidate will receive up to ₹63,000 and other benefits.Source:Indian Institute of Technology (Indian School of Mines) Dhanbad",drnd@iitism.ac.in,0326-2235203,https://www.iitism.ac.in,monetary,"{'Original website': 'https://www.iitism.ac.in', 'Apply online link': 'https://people.iitism.ac.in/~research/post-doctoral-fellowship.php'}","Indian Institute of Technology (ISM) Dhanbad
Office of the Dean (Research & Development)
Email ID:
drnd@iitism.ac.in |
Phone number:
0326-2235203/2235217/2235253"
"Beti Hai Anmol Yojna, Himachal Pradesh 2023",Girl child of BPL family,India,Always Open,Annual scholarship,"Beti Hai Anmol Yojna, Himachal Pradesh 2023 is an initiative of the Government of Himachal Pradesh to girl children of BPL families. This scheme aims to make the girl self-reliant with necessary financial assistance and education. The financial assistance would be given at the time of the birth of the girl child and then an annual scholarship would be given.Source:Himachal E-District",helpdesk.edistrict.itl@gmail.com,18001808076,https://edistrict.hp.gov.in/,monetary,"{'Original website': 'https://edistrict.hp.gov.in/', 'Apply online link': 'https://edistrict.hp.gov.in/pages/services/designForm/InfoPages/Beti_Hai_Anmol_Yojna.xhtml'}","Government of Himachal Pradesh
Email ID:
helpdesk.edistrict.itl@gmail.com |
Phone Number:
18001808076 (Helpdesk support)"
National Law University (P39A) Internship Programme 2023,"Students enrolled in UG and PG courses in law, humanities, social sciences, management or media and communications.",India,Always Open,"Up to ₹10,000 per month","National Law University (Project 39A) Internship Programme 2023 is an opportunity offered by the National Law University, New Delhi to students enrolled in the undergraduate or postgraduate programme in the law, humanities, social sciences, management or media and communications. The objective of the internship is to provide meaningful exposure to the complexities and nuances of the criminal justice system in India. The selected interns will be paid a stipend of ₹10,000 (Rupees Ten Thousand Only) for every four-week period of internship undergone. Interns on a part-time internship will be paid a stipend of ₹5,000 (Rupees Five Thousand Only) for every four-week period of internship undergone.*Project 39A is inspired by Article 39-A of the Indian Constitution, a provision that furthers the intertwined values of equal justice and equal opportunity by removing economic and social barriers. Using empirical research to re-examine practices and policies in the criminal justice system, Project 39A aims to trigger new conversations on legal aid, torture, forensics, mental health in prisons, and the death penalty.Source:Project 39A",p39a@nludelhi.ac.in,+91 11 2803 2533,https://nludelhi.ac.in/home.aspx,monetary,"{'Apply online link': 'https://www.project39a.com/internship-p39a', 'Original website': 'https://nludelhi.ac.in/home.aspx'}","Project 39A
National Law University, Delhi
Sector 14, Dwarka,
New Delhi - 110078
Email ID:
p39a@nludelhi.ac.in |
Phone no:
+91 11 2803 2533"
SERB - POWER Fellowship 2023,PhD degree holders,India,Always Open,"Up to ₹15,000 per month","The Science & Engineering Research Board (SERB) is inviting applications for SERB - POWER Fellowship 2023 from PhD degree holders. This fellowship is designed to identify and reward excellent women researchers in Indian academic institutions and R&D laboratories, holding a PhD degree in any branch of science and engineering. The selected fellows will receive up to ₹15,000 per month.Source:Science and Engineering Research Board (SERB)",Null,+91-11-40000358,https://serbonline.in/SERB/HomePage,monetary,"{'Original website': 'https://serbonline.in/SERB/HomePage', 'Apply online link': 'https://serbonline.in/SERB/serbPowerInstructions'}","Science and Engineering Research Board
5 & 5A, Lower Ground Floor
Vasant Square Mall
Sector-B, Pocket-5
Vasant Kunj
New Delhi – 110 070
Telephone: +91-11-40000358"
"President's PhD Scholarships, Imperial College London 2023-24",PhD applicants,United Kingdom,Always Open,"Full tuition fee waiver and a stipend of GBP 21,400 per annum",Imperial College London invites applications for President's PhD Scholarships 2023-24 from high-performing undergraduate or Master's students who wish to enrol for a PhD programme. Up to 50 research students will be selected for this scholarship. They will receive a tuition fee waiver and a generous annual stipend.Source:Imperial College London,phdscholarshipscheme@imperial.ac.uk,20 7589 5111,http://www.imperial.ac.uk/,mixed,"{'Original website': 'http://www.imperial.ac.uk/', 'Latest scholarship link': 'http://www.imperial.ac.uk/study/pg/fees-and-funding/scholarships/presidents-phd-scholarships/', 'Apply online link': 'http://www.imperial.ac.uk/study/pg/apply/how-to-apply/'}","South Kensington Campus
London SW7 2AZ
United Kingdom
Tel: +44 (0)20 7589 5111
Email: phdscholarshipscheme@imperial.ac.uk"
IICSR Achala Scholarship 2023-24,Students applying for online master and PGP program in CSR and Sustainability at IICSR,India,Always Open,"Up to ₹35,000","IICSR Achala Scholarshipis an initiative byIICSRto award deserving candidates scholarships to pursue the'Online Masters in CSR and Sustainability'and'Post Graduate Program in CSR and Sustainability at North Goa Campus'programs at IICSR. Under this scholarship, the students selected will be provided with financial assistance of up to ₹35,000 to pay off their course fees.The scholarship program has been named after the late Smt. Achala Saxena, a lawyer and humanitarian who worked for the underprivileged society.Source:International Institute for Corporate Sustainability and Responsibility (IICSR)",info@iicsr.com,Null,https://iicsr.knorish.com/page/online-courses,monetary,"{'Apply online link': 'https://iicsr.knorish.com/page/online-courses', 'Latest scholarship link': 'https://ekjaa.org/wp-content/uploads/2022/04/achalaekjaa.pdf'}",Email: info@iicsr.com
