name,Eligibility,Region,Deadline,Award,Description,Email,Contact Number,link,category,Links,contactDetails
"National Means-Cum-Merit Scholarship Examination, West Bengal 2024",Class 8 students,India,Closed,"₹12,000 per annum","National Means-Cum-Merit Scholarship Examination, West Bengal 2024 is an initiative of the Directorate of School Education, West Bengal for students studying in Class 8. This scholarship program aims to financially support the meritorious students of economically weaker sections of society. The selected candidates will receive ₹12,000 per annum.Source:Scholarship Education Department, Government of West Bengal",helpscholarships@gmail.com,Null,https://scholarships.wbsed.gov.in/,monetary,"{'Latest scholarship link': 'https://scholarships.wbsed.gov.in/readwrite/instruction/NMMSE_2024_instruction.pdf', 'Original website': 'https://scholarships.wbsed.gov.in/', 'Others': 'https://scholarships.wbsed.gov.in/readwrite/instruction/NMMSE_2024_USER_MANUAL.pdf', 'Apply online link': 'https://scholarships.wbsed.gov.in/index.php'}","Directorate of School Education
West Bengal, Bikash Bhavan, 7th floor,
Salt Lake City,
Kolkata-700091
Email ID:
helpscholarships@gmail.com |
Contact Number:
(011)--2334-2228"
Yashad-Sumedha Scholarship Programme 2024-25,Rajasthan students pursuing higher education,India,Closed,Financial assistance,"Yashad-Sumedha Scholarship Programme 2024-25 is an opportunity offered by Yashad-Sumedha* to Rajasthan students pursuing higher studies. The programme aims to foster education and skill development among financially deprived students by providing monetary aid. The selected candidates will receive financial assistance.*Sumedha is a non-profit society/organisation founded by Sh. Meetha Lal Mehta (Padma Shree), Former Chief Secretary of Rajasthan in 1998. The organization aims to help talented children from resource-poor families who are deprived of higher education. With Sumedha's support, 6238 students have received educational opportunities thus far.Source:Sumedha",sumedhascholarship@gmail.com,1412761191,http://www.sumedha.org,other,"{'Original website': 'http://www.sumedha.org', 'Apply online link': 'https://www.sumedha.org/apps/index.php'}","Sumedha
5 Keshav Vihar, Gopalpura Byepass Road
Jaipur- 302018, Rajasthan
Email ID:
sumedhascholarship@gmail.com |
Phone Number:
(+91) 1412761191"
"Chief Minister's Overseas Scholarship Scheme for Minorities, Telangana 2024",Students pursuing PG and Ph.D. level courses,India,Closed,"A scholarship of ₹10,00,000 or as per admission letter, whichever is less, along with other benefits","Chief Minister's Overseas Scholarship Scheme for Minorities, Telangana 2024 is an initiative of the Minority Development Department, Government of Telangana, to support students belonging to minority communities who wish to pursue postgraduate (PG) and doctoral (Ph.D.) degrees abroad. Under the scheme, financial assistance will be provided to 500 selected students. Selected candidates will receive ₹10,00,000 in two instalments and other benefits.Source:Telangana ePASS",secy-mw@telangana.gov.in,Null,https://telanganaepass.cgg.gov.in/,monetary,"{'Original website': 'https://telanganaepass.cgg.gov.in/', 'Apply online link': 'https://telanganaepass.cgg.gov.in/', 'Latest scholarship link': 'https://telanganaepass.cgg.gov.in/downloads/MInority_AOVN_GO.pdf'}","Minorities Welfare Department
5th Floor, Burgula Rama Krishna Rao Bhavan,
NH 44, Hill Fort, Adarsh Nagar,
Hyderabad, Telangana - 500063
Email ID:
secy-mw@telangana.gov.in |
Phone Number:
(040)-23452983"
"Post-Matric Intermediate Scholarship for SC, ST & General Category, Uttar Pradesh 2024-25",Students studying in Class 11 or 12,India,Closed,Financial assistance,"Post-Matric Intermediate Scholarship for SC, ST & General Category, Uttar Pradesh 2024-25 is an initiative of the Social Welfare Department, Government of Uttar Pradesh for SC/ST/General category students studying in Class 11 or 12. This scholarship scheme aims to provide financial assistance to students who are domiciled in Uttar Pradesh and studying at an intermediate level in the state.Source:Uttar Pradesh Government Portal",Null,Null,https://scholarship.up.gov.in/,other,"{'Latest scholarship link': 'https://scholarship.up.gov.in/PDFS/Genral%20Postmatric%20time%20table%202024-25.pdf', 'Apply online link': 'https://scholarship.up.gov.in/'}","Department of Social Welfare
Government of Uttar Pradesh
Prag Narayan Road, Butler Colony
Lucknow-226001
Phone Number:
(0522) 2209259"
INSPIRE Awards MANAK Scheme 2024-25,Students enrolled in Classes 6 to 10,India,Closed,"A one-time award of ₹10,000","INSPIRE Awards MANAK Scheme 2024-25 is an opportunity for students in Classes 6 to 10. The scheme is a flagship program implemented by the Department of Science and Technology (DST), Ministry of Science and Technology, Government of India that aims to nurture these qualities among school students. The scheme encourages them to address societal needs through science and technology by developing original ideas. The selected students will receive a one-time award of ₹10,000.Source:Department of Science and Technology",inspire@nifindia.org,96384 18605,https://www.inspireawards-dst.gov.in/UserP/school-authority.aspx,monetary,"{'Others': 'https://www.inspireawards-dst.gov.in/UserP/guideline-and-manuals.aspx', 'Apply online link': 'https://www.inspireawards-dst.gov.in/UserP/school-authority.aspx'}","INSPIRE, National Innovation Foundation - India
Department of Science and Technology,
Technology Bhavan, New Mehrauli Road,
New Delhi – 110 016
Email ID:
inspire@nifindia.org |
Phone Number:
(+91) 96384 18605"
Jawahar Navodaya Vidyalaya Selection Test 2025-26,Class 5 students,India,Closed,"Free education at JNVs inclduing board and lodging, uniform and textbooks","Jawahar Navodaya Vidyalaya Selection Test 2025-26 is an initiative of Navodaya Vidyalaya Samiti - an autonomous organisation under the Ministry of Education, Government of India - for students who wish to seek admission to Classes 6 and 9 in Jawahar Navodaya Vidyalayas (JNVs) for the academic year 2024-25.This scheme aims to provide high-quality modern education, encompassing a vital cultural component, to talented children predominantly from rural areas irrespective of their family's socio-economic conditions. The scheme also promotes national integration by facilitating student exchanges between Hindi-speaking and non-Hindi-speaking states.Under this scheme, students will receive free education in JNVs, along with provisions for accommodation, meals, uniforms, and textbooks.Source:Navodaya Vidyalaya Samiti",Null,Null,https://navodaya.gov.in/nvs/en/Home1,other,"{'Jawahar Navodaya Vidyalaya – Free Education for School Students, Apply Now': 'https://www.buddy4study.com/article/jawahar-navodaya-vidyalaya', 'Apply online link': 'https://cbseitms.rcil.gov.in/nvs/', 'Latest scholarship link': 'https://cbseitms.rcil.gov.in/nvs/assets/pdf/Final_Prospectus_2025.pdf', 'Original website': 'https://navodaya.gov.in/nvs/en/Home1', 'Others': 'https://cbseitms.rcil.gov.in/nvs/assets/PDF/certificate_2025.pdf'}","Navodaya Vidyalaya Samiti,
B-15, Institutional Area,
Sector 62, Noida, Uttar Pradesh - 201307
Phone Number:
(0120) - 2405968, 69, 70, 71, 72, 73 |
Fax Number:
(0120) - 2405922"
"National Means-cum-Merit Scholarship Scheme (NMMSS) Examination, Himachal Pradesh 2024-25",Students currently in Class 8 for the 2024-2025 academic year,India,Closed,"A scholarship of ₹1,000 per month","National Means-cum-Merit Scholarship Scheme (NMMSS) Examination, Himachal Pradesh 2024-25 is conducted by the State Council of Educational Research and Training (SCERT), Solan, for Class 8 students during the 2024-25 academic year. A total of 832 selected students will receive a monthly scholarship of ₹1,000.Source:National Means Cum Merit Scholarship",Null,8219282692,https://scerthp.org/,monetary,"{'Original website': 'https://scerthp.org/', 'Apply online link': 'https://nmcme.examtime.co.in/'}","SCERT Complex, Rabon
PO Saproon, Solan
Himachal Pradesh - 173211
For any query regarding the online filling of the Application Form for the NMMSS Examination contact:
(+91) 8219282692 | 8580496757 | 9418151851 | 9418066346"
"Post-Matric Intermediate Scholarship for Minorities, Uttar Pradesh 2024-25",Minoity community students studying in Class 11 or 12,India,Closed,Financial assistance,"Post-Matric Intermediate Scholarship for Minorities, Uttar Pradesh 2024-25 is an initiative of the Social Welfare Department, Government of Uttar Pradesh, for minority category students studying in Class 11 or 12. The scholarship aims to promote education among minority communities. Selected students will receive financial assistance.Source:Uttar Pradesh Government Portal",Null,Null,https://scholarship.up.gov.in/,other,"{'Latest scholarship link': 'https://scholarship.up.gov.in/PDFS/Postmatric%20time%20table%20Gen%20obc%20min%2015%20September.pdf', 'Apply online link': 'https://scholarship.up.gov.in/'}","Department of Social Welfare, Government of Uttar Pradesh
Prag Narayan Road, Butler Colony
Lucknow - 226001
Phone Number:
(0522)-2209259"
"Post-Matric Other State Scholarship for ST, SC, General Category, Uttar Pradesh 2024-25","Students enrolled in graduation, postgraduation, Ph.D., or above",India,Closed,Financial assistance,"Post-Matric Other State Scholarship for ST, SC, General Category, Uttar Pradesh 2024-25 is an initiative of the Social Welfare Department, Government of Uttar Pradesh, for SC/ST/General category students enrolled in graduation, postgraduation, Ph.D., or higher-level degree. The selected students will receive financial assistance to pursue post-matric education at the school level.Source:Uttar Pradesh Government Portal",Null,Null,https://scholarship.up.gov.in/,other,"{'Apply online link': 'https://scholarship.up.gov.in/', 'Latest scholarship link': 'https://scholarship.up.gov.in/PDFS/Genral%20Postmatric%20time%20table%202024-25.pdf'}","Department of Social Welfare
Government of Uttar Pradesh
Prag Narayan Road, Butler Colony
Lucknow-226001
Phone Number:
(0522) 2209259"
"Post-Matric Scholarship for ST, SC, General Category (Other than Intermediate), Uttar Pradesh 2024-25",Students studying in graduation or above,India,Closed,Financial assistance,"Post-Matric Scholarship for ST, SC, General Category (Other than Intermediate), Uttar Pradesh 2024-25 is an initiative of the Department of Social Welfare, Government of Uttar Pradesh, for students pursuing studies at the graduation or higher level. The selected students will receive financial assistance.Source:Uttar Pradesh Government Portal",Null,Null,https://scholarship.up.gov.in/,other,"{'Latest scholarship link': 'https://scholarship.up.gov.in/PDFS/Genral%20Postmatric%20time%20table%202024-25.pdf', 'Others': 'https://scholarship.up.gov.in/PDFS/Postmatric%20time%20table%20sc%20st%2015%20September.pdf', 'Apply online link': 'https://scholarship.up.gov.in/'}","Department of Social Welfare
Government of Uttar Pradesh
Prag Narayan Road, Butler Colony
Lucknow-226001
Phone Number:
(0522) 2209259"
"Pre-Matric Scholarship to the Children of those Engaged in Occupations, Maharashtra 2024",Students studying at pre-matric level,India,Closed,Up to ₹700 per month (for 10 months) and other benefits,"Pre-matric Scholarship for Children Engaged in Unclean Occupation, Maharashtra 2024 is an initiative by the Social Justice and Special Assistance, Government of Maharashtra, for SC category students studying at pre-matric level in any  government or private institutions. The selected students will receive a monthly scholarship of up to ₹700 per month for 10 months and other benefits.Source:Aaple Sarkar DBT Portal",min.socjustice@maharashtra.gov.in,022-22843665,https://mahadbt.maharashtra.gov.in/,monetary,"{'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AA75E16D346B2E6DA', 'Original website': 'https://mahadbt.maharashtra.gov.in/', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AA75E16D346B2E6DA'}","Social Justice and Special Assistance, Government of Maharashtra
1st Floor, Annex Building,
Mantralay, Madam Cama Road,
Hutatma Rajguru Chowk,
Nariman Point, Mumbai - 400032
Email ID:
min.socjustice@maharashtra.gov.in |
Phone Number:
022-22843665, 220231652"
"Post-Matric Intermediate Scholarship for OBC Students, Uttar Pradesh 2024-25",Students studying in Class 11 and 12,India,Closed,"Tuition fee reimbursement of up to ₹50,000 or the actual fees paid, whichever is less","Post-Matric Intermediate Scholarship for OBC Students, Uttar Pradesh 2024-25 is an initiative of the Backward Classes Welfare Department, Government of Uttar Pradesh, for the students who are studying in Class 11 and 12 and belong to the OBC category. The selected students will receive a tuition fee reimbursement of up to ₹10,000 or the actual fees paid, whichever is less.Source:Uttar Pradesh Government Portal",Null,Null,https://scholarship.up.gov.in/,mixed,"{'Apply online link': 'https://scholarship.up.gov.in/', 'Original website': 'https://scholarship.up.gov.in/', 'Latest scholarship link': 'https://scholarship.up.gov.in/PDFS/Genral%20Postmatric%20time%20table%202024-25.pdf'}","Department of Social Welfare
Government of Uttar Pradesh
Prag Narayan Road, Butler Colony
Lucknow-226001
Phone Number:
(0522) 2209259"
"Tuition Fee and Examination Fee for Tribal Students (Freeship), Maharashtra 2024-25",ST students studying at post-matric level,India,Closed,Education Fees Reimbursement,"Tuition Fee and Examination Fee for Tribal Students (Freeship), Maharashtra 2024-25 is an initiative by the Tribal Development Department, Government of Maharashtra, to provide financial assistance to Scheduled Tribe (ST) community students of the state pursuing post-matriculation studies. Selected students will receive reimbursement for their tuition and examination fees based on the approved fee structure of their respective colleges or institutions.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/Home/Index,mixed,"{'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AFC085DBE43E82570'}","Tribal Development Department, Government of Maharashtra
First Floor, Mantralaya (Extension Building),
Madame Cama Road,
Hutatma Rajguru Chowk, Mumbai - 400032
Mantralaya Main Telephone Number
- 22024243"
"Vocational Education Maintenance Allowance to ST Students, Maharashtra 2024-25",Scheduled Tribe (ST) students enrolled in vocational courses,India,Closed,"Annual maintenance allowance of up to ₹10,000","Vocational Education Maintenance Allowance for ST Students, Maharashtra 2024-25 is a program offered by the Maharashtra State Government's Tribal Development Department to provide financial assistance to ST students enrolled in vocational courses. Selected students will receive an annual maintenance allowance of up to ₹10,000.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/Home/Index,monetary,"{'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AADA109F73D48B5D5'}","Tribal Development Department, Government of Maharashtra
First Floor, Mantralaya (Annexe Building),
Madame Cama Road,
Hutatma Rajguru Chowk, Mumbai-400032
Mantralaya Main Telephone Number -
22024243"
"Post-Matric Scholarship Scheme Government of India, Maharashtra 2024-25",Class 10 passed ST students of Maharashtra,India,Closed,Vocational education fee reimbursement,"Post-Matric Scholarship Scheme, Government of India, Maharashtra 2024-25, is an initiative of the Tribal Development Department, Government of Maharashtra, aimed at providing financial assistance to Scheduled Tribe (ST) students from the state. The scholarship encourages students from economically disadvantaged backgrounds to pursue higher education beyond Class 10. Selected candidates will receive a maintenance allowance and other benefits.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A739268F02CEC37EC,monetary,{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A739268F02CEC37EC'},"Tribal Development Department, Government of Maharashtra
First Floor, Mantralaya (Extension Building),
Madame Cama Road,
Hutatma Rajguru Chowk, Mumbai - 400032
Mantralaya Main Telephone Number
- 22024243"
"Vocational Education Fee Reimbursement, Maharashtra 2024-25",Students enrolled in vocational courses,India,Closed,Tuition and Examination Fees as per Approved College Fee Structure,"Vocational Education Fee Reimbursement, Maharashtra 2024-25 is an initiative by the Tribal Development Department, Government of Maharashtra, to provide financial assistance to students pursuing vocational courses within the state. Selected students will receive reimbursement for tuition and examination fees based on the approved college fee structure.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/Home/Index,tuition_waiver,"{'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AC6B28ED14CE96709'}","Tribal Development Department, Government of Maharashtra
First Floor, Mantralaya (Extension Building),
Madame Cama Road, Hutatma Rajguru Chowk,
Mumbai - 400032
Mantralaya Main Telephone Number:
22024243"
"Post-Matric Scholarship for Persons with Disability, Maharashtra 2024-25",Disabled students studying in Class 11 to Ph.D. level,India,Closed,"A monthly maintenance allowance up to ₹1,200 and other benefits","Post-Matric Scholarship for Persons with Disability, Maharashtra 2024-25 is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra. It provides financial assistance to disabled students enrolled in Class 11 to Ph.D. Selected scholars will receive a monthly maintenance allowance of up to ₹1,200 and other benefits.Source:Aaple Sarkar DBT Portal",min.socjustice@maharashtra.gov.in,Null,https://mahadbtmahait.gov.in,monetary,"{'Original website': 'https://mahadbtmahait.gov.in', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/5.pdf', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A054A8D0DAA702B64'}","Social Justice & Special Assistance Department, Government of Maharashtra
1st Floor, Annex Building,
Mantralay, Madam Cama Road,
Hutatma Rajguru Chowk,
Nariman Point, Mumbai - 400032
Email ID:
min.socjustice@maharashtra.gov.in |
Helpline Number:
(022)-22025251"
"Vocational Training Fee Reimbursement for SC Students, Maharashtra 2024-25",SC category students of Maharashtra,India,Closed,100% reimbursement of course fees,"Vocational Training Fee Reimbursement for SC Students, Maharashtra 2024-25 is an initiative of the Social Justice and Special Assistance Department, Government of Maharashtra. It provides financial assistance to SC category students who have secured admission through the Centralised Admission Process (CAP) in government and private ITIs under the PPP scheme. Selected candidates will receive a 100% reimbursement of the course fees.Source:Aaple Sarkar DBT Portal",min.socjustice@maharashtra.gov.in,Null,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AD172C0AB7BCD9AB3,mixed,{'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AD172C0AB7BCD9AB3'},"Social Justice & Special Assistance Department, Government of Maharashtra
1st Floor, Annex Building,
Mantralay, Madam Cama Road,
Hutatma Rajguru Chowk,
Nariman Point, Mumbai - 400032
Email ID:
min.socjustice@maharashtra.gov.in |
Helpline Number:
(022)-22025251"
"DTE Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna, Maharashtra 2024-25",Children of registered laborers and marginal farmers,India,Closed,"Up to ₹30,000 for 10 months","DTE Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna, Maharashtra 2024-25 is an initiative of the Department of Technical Education, Government of Maharashtra. It provides financial aid to students who are wards of registered laborers or marginal farmers and have secured admission to technical and professional courses in government, government-funded, or non-affiliated colleges/polytechnics. Selected students will receive financial assistance of up to ₹30,000 for ten months.Source:Aaple Sarkar DBT Portal",Null,Null,https://mahadbt.maharashtra.gov.in/Home/Index,monetary,"{'Original website': 'https://mahadbt.maharashtra.gov.in/Home/Index', 'Apply online link': 'https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A1DB822FC15D61FEA', 'Latest scholarship link': 'https://mahadbt.maharashtra.gov.in/PDF/25.pdf'}","Directorate Of Technical Education, Government of Maharashtra
3, Mahapalika Marg, Post Box No.1967,
Opp. Metro Cinema, Mumbai - 400001
Phone Number:
(022) 22641150, 22641151, 22620601, 22690602"
