name,Eligibility,Region,Deadline,Award,Description,Email,Contact Number,link,category,Links,contactDetails
Esri India Master's Scholarship Program 2025,Students in 2nd year of a postgraduate degree in Geoinformatics or a similar courses,India,25-Jul-2025,"An annual scholarship award of ₹1,00,000","Esri India Master's Scholarship Program 2025 is an opportunity offered by Esri India to students starting their second year of a postgraduate (M.Tech./M.Sc.) program in Geoinformatics or a related field that involves studying remote sensing, GIS, spatial modelling, spatial analysis, digital image processing, and similar subjects. A total of 10 selected students will receive an annual scholarship of ₹1,00,000.Source:esri.in",gis.education@esri.in,1800 1021918,https://www.esri.in/en-in/programs/masters-scholarships-in-gis/overview,monetary,{'Apply online link': 'https://www.esri.in/en-in/programs/masters-scholarships-in-gis/overview'},"Esri India Technologies Limited
10th Floor, Max Towers,
Sector - 16B, Noida
Uttar Pradesh - 201301
Email ID:
gis.education@esri.in
| Phone Number
: 1800 1021918"
Vidyadhan Tamil Nadu Plus 1 Scholarship Program 2025,Class 11 and 12 school students of the state,India,27-Jul-2025,"A maximum of ₹10,000 per annum","Vidyadhan Tamil Nadu Plus 1 Scholarship Program 2025 is an initiative by the Sarojini Damodaran Foundation for students studying in Class 11 or 12 at a recognised institution in the state. The selected students will receive a maximum of ₹10,000 per annum.Source:vidyadhan.org",vidyadhan.tamilnadu@sdfoundationindia.com,9663517131,https://www.vidyadhan.org/apply,monetary,"{'Apply online link': 'https://www.vidyadhan.org/apply', 'Media Link': 'https://www.buddy4study.com/scholarship/vidyadhan-tamil-nadu-plus-ONE-scholarship-program'}","Sarojini Damodaran Foundation
678, 11th Main Rd, 4th T Block East,
4th Block, Jayanagar, Bengaluru, Karnataka - 560041
Email ID:
vidyadhan.tamilnadu@sdfoundationindia.com
|
Phone Number:
(+91)
9663517131"
"Vidyadhan Class 11 and 12 Scholarship Program, Maharashtra 2025",Class 11 and 12 students,India,30-Jul-2025,"An annual scholarship of ₹10,000","Vidyadhan Class 11 and 12 Scholarship Program, Maharashtra 2025 is an initiative by the Sarojini Damodaran Foundation for Class 11 and 12 students of the state of Maharashtra. The selected students will receive ₹10,000 per annum.Source:vidyadhan.org",vidyadhan.maharashtra@sdfoundationindia.com,+918068333500,https://www.vidyadhan.org/apply,monetary,{'Apply online link': 'https://www.vidyadhan.org/apply'},"Sarojini Damodaran Foundation
678, 11th Main Rd
4th T Block East, 4th Block
Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.maharashtra@sdfoundationindia.com
| Phone Number:
+918068333500/ 08068333500"
MPOWER Women in STEM Scholarship 2025,Female students,United States,31-Jul-2025,"Up to USD 5,000 (one-time)","MPOWER Women in STEM Scholarship 2025is an initiative of MPOWER Financing (A fintech providing student loans for international students, U.S. citizens, and Deferred Action for Childhood Arrivals (DACA) students) to recognise the potential of women in science. Selected candidates will receive a scholarship of up to USD 5,000.Source:MPOWER Financing",Null,202-417-3800,https://www.mpowerfinancing.com/,monetary,"{'Original website': 'https://www.mpowerfinancing.com/', 'Apply online link': 'https://www.mpowerfinancing.com/scholarships/women-in-stem'}","The Cube at Karle Town Center
9th Floor, 100 Ft
Nada Prabhu Kempe GowdaMain Road
Bengaluru, Karnataka 560045, India
Phone Number:
(+1) 202-417-3800/647-503-4607"
Biswabina Scholarship 2025,Higher secondary passed students,India,31-Jul-2025,Yearly grant,"Biswabina Scholarship 2025 is an opportunity provided by the Biswabina Foundation* for high secondary passed students. It aims to support meritorious students by offering financial aid. Selected candidates will receive a yearly grant.*The Biswabina Foundation officially began its journey on April 7, 2014, when it was registered as a Public Charitable Trust at the office of the Additional Registrar of Assurance-III in Kolkata, West Bengal. Its creation was inspired by a noble idea nurtured over several years by its President, Dr. Rina Pal, along with a few founding trustee members. As a voluntary organisation, the Foundation is dedicated to improving the lives of disadvantaged individuals by providing financial support and assistance.Source:biswabinafoundation.in",foundationbiswabina@gmail.com,9933068844,https://biswabinafoundation.in/,other,{'Apply online link': 'https://biswabinafoundation.in/'},"Biswabina Foundation
M/9, Bidhannagar, Midnapore, 721101
Email ID:
foundationbiswabina@gmail.com
| Phone Number:
(+91) 9933068844"
"Nirman Shramik Kalyan Yojana Scholarship for ST/SC/OBC/SEBC/GENERAL/EBC Communities, Odisha 2024-25",Students studying in Class 6 and above,India,31-Jul-2025,"An annual financial assistance of up to ₹40,000","Nirman Shramik Kalyan Yojana Scholarship for ST/SC/OBC/SEBC/GENERAL/EBC Communities, Odisha 2024-25 is an opportunity offered by the Labour & ESI Department, Government of Odisha to General, ST, SC, OBC, SEBC, and EBC category students studying in Class 6 and above level. The objective of this scheme is to provide financial support to the wards of construction workers for their studies. The selected students will receive educational assistance up to ₹40,000 per annum.Source:State Scholarship Portal - Government Of Odisha",labsec.or@nic.in,674-2536770,https://scholarship.odisha.gov.in,monetary,"{'Latest scholarship link': 'https://scholarship.odisha.gov.in/website/home', 'Apply online link': 'https://scholarship.odisha.gov.in'}","Labour & ESI Department, Government of Odisha
5th Floor, Kharavel Bhawan,
Bhubaneswar-751001, Odisha
Email ID:
labsec.or@nic.in, labsec.or@gmail.com |
Phone Number:
(91)-674-2536770"
"Vidyadhan Class 11 and 12 Scholarship Program, Uttar Pradesh 2025",Class 11 and 12 students studying in Uttar Pradesh,India,31-Jul-2025,"A scholarship of ₹10,000 per annum","Vidyadhan Class 11 and 12 Scholarship Program, Uttar Pradesh 2025 is an opportunity offered by the *Sarojini Damodaran Foundation for Class 10 passed students who are currently studying in Class 11 or 12 at a recognised school/institution of the state. The selected students will receive a maximum of ₹10,000 per annum.*Sarojini Damodaran Foundation was established in 1999 by SD Shibulal (Co-founder and former CEO, Infosys) and Kumari Shibulal, (Sarojini Damodaran Foundation). The financial support by this organisation helps in transforming the lives of underprivileged students in society by contributing to their higher education.Source:VidyaDhan",vidyadhan.up@sdfoundationindia.com,9663517131,https://www.vidyadhan.org/apply,monetary,{'Apply online link': 'https://www.vidyadhan.org/apply'},"Sarojini Damodaran Foundation
678, 11th Main Rd, 4th T Block East, 4th Block,
Jayanagar, Bengaluru,
Karnataka - 560041
Email ID:
vidyadhan.up@sdfoundationindia.com |
Phone Number:
(+91) 9663517131 (Aniket Sen)"
Vidyadhan Puducherry Plus 1 Scholarship Program 2025,Students studying in Class 11 and 12 in a recognised school/institution of the state,India,31-Jul-2025,"₹10,000 per annum","Vidyadhan Puducherry Plus 1 Scholarship Program 2025 is an initiative by the Sarojini Damodaran Foundation* for students studying in Class 11 or 12 at a recognised institution in the state. The selected students will receive ₹10,000 per annum.*Sarojini Damodaran Foundation was established in 1999 by SD Shibulal (Co-founder and former CEO, Infosys) and Kumari Shibulal, (Sarojini Damodaran Foundation). The financial support by this organisation helps in transforming the lives of underprivileged students in society by contributing to their higher education.Source:VidyaDhan",vidyadhan.puducherry@sdfoundationindia.com,8068333500,https://www.vidyadhan.org/apply,monetary,{'Apply online link': 'https://www.vidyadhan.org/apply'},"Sarojini Damodaran Foundation
678, 11th Main Rd, 4th T Block East,
4th Block, Jayanagar, Bengaluru, Karnataka - 560041
Email ID:
vidyadhan.puducherry@sdfoundationindia.com |
Phone Number:
(+91) 8068333500"
"Vidyadhan Intermediate Scholarship Program, Jharkhand 2025",Class 11 and 12 school students of the state,India,31-Jul-2025,"₹10,000 per annum","Vidyadhan Intermediate Scholarship Program, Jharkhand 2025 is an initiative by the Sarojini Damodaran Foundation. The main objective of this scholarship is to support the college education of meritorious students from economically challenged families. The selected students will receive ₹10,000 per annum.Source:Vidyadhan",vidyadhan.jharkhand@sdfoundationindia.com,8068333500,https://www.vidyadhan.org/apply,monetary,{'Apply online link': 'https://www.vidyadhan.org/apply'},"Sarojini Damodaran Foundation
678, 11th Main Rd
4th T Block East, 4th Block
Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.jharkhand@sdfoundationindia.com
| Phone Number:
(+91) 8068333500"
"Vidyadhan Class 11 and 12 Scholarship Program, Goa 2025",Class 10 passed school students,India,31-Jul-2025,"An annual scholarship of ₹10,000","Vidyadhan Class 11 and 12 Scholarship Program, Goa 2025 is an initiative by the Sarojini Damodaran Foundation* for Class 10 passed students of the union territory. The selected students will receive ₹10,000 per annum.*Sarojini Damodaran Foundation was established in 1999 by SD Shibulal (Co-founder and former CEO, Infosys) and Kumari Shibulal, (Sarojini Damodaran Foundation). The financial support by this organisation helps in transforming the lives of underprivileged students in society by contributing to their higher education.Source:VidyaDhan",vidyadhan.goa@sdfoundationindia.com,9663517131,https://www.vidyadhan.org,monetary,"{'Original website': 'https://www.vidyadhan.org', 'Media Link': 'https://www.buddy4study.com/scholarship/vidyadhan-goa-eleventh-and-twelfth-program', 'Latest scholarship link': 'https://www.vidyadhan.org/apply', 'Apply online link': 'https://www.vidyadhan.org/apply'}","Sarojini Damodaran Foundation
678, 11th Main Rd
4th T Block East, 4th Block
Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.goa@sdfoundationindia.com
| Phone Number:
9663517131"
"Vidyadhan Class 11 and 12 Scholarship Program, Delhi 2025",Class 10 passed students,India,31-Jul-2025,"₹10,000 per annum","Vidyadhan Class 11 and 12 Scholarship Program, Delhi 2025 is an opportunity offered by the Sarojini Damodaran Foundation to Class 10 passed students of Delhi. The selected candidates will receive ₹10,000 per annum.Source:www.vidyadhan.org/web/index.php",vidyadhan.delhi@sdfoundationindia.com,8068333500,https://www.vidyadhan.org/apply,monetary,{'Apply online link': 'https://www.vidyadhan.org/apply'},"Sarojini Damodaran Foundation
678, 11th Main Rd
4th T Block East, 4th Block
Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.delhi@sdfoundationindia.com
| Phone Number:
8068333500"
"Vidyadhan Class 11 and 12 Scholarship Program, Punjab 2025",Class 10 passed students,India,31-Jul-2025,"₹10,000 per annum","Vidyadhan Class 11 and 12 Scholarship Program, Punjab 2025 is an opportunity offered by the Sarojini Damodaran Foundation to Class 10 passed students of the state. The selected candidates will receive ₹10,000 per annum.Source:",vidyadhan.punjab@sdfoundationindia.com,8068333500,https://www.vidyadhan.org/apply,monetary,{'Apply online link': 'https://www.vidyadhan.org/apply'},"Sarojini Damodaran Foundation
678, 11th Main Rd
4th T Block East, 4th Block
Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.punjab@sdfoundationindia.com
| Phone Number:
8068333500."
Jagadis Bose National Science Talent Search Junior Scholarship Test (JBNSTS) 2025,Class 10 passed students of West Bengal,India,31-Jul-2025,"A monthly scholarship of ₹1,250 till completion of Class 12 exams","Jagadis Bose National Science Talent Search Junior Scholarship Test (JBNSTS) 2025 is an opportunity provided by the Jagadis Bose National Science Talent Search to Class 10 or equivalent examination passed students from West Bengal. The objective of this test is to identify, nurture and motivate talented students to achieve their scientific goals and develop their innovative minds. Selected candidates will receive a monthly scholarship of ₹1,250 for 2 years till the completion of Class 12 exams.Source:jbnsts.ac.in",jbnsts@jbnsts.ac.in,Null,https://jbnsts.ac.in/jbexam/instructionsjtst2025.php,monetary,{'Apply online link': 'https://jbnsts.ac.in/jbexam/instructionsjtst2025.php'},"Jagadis Bose National Science Talent Search
1300, Rajdanga Main Road
Kasba, Kolkata
West Bengal - 700107
Email ID:
jbnsts@jbnsts.ac.in |
Phone Number:
(033) 24428270"
DAAD Helmut-Schmidt-Programme 2025,Students pursuing Master’s programs in Germany,Germany,31-Jul-2025,A monthly scholarship of EUR 992 and other benefits,The DAAD Helmut-Schmidt-Programme 2025 (Master’s Scholarships for Public Policy and Good Governance - PPGG) is an opportunity provided by the DAAD association for students pursuing a master’s degree in Germany. It aims to contribute to promoting good governance and civil society structures in developing and emerging countries. Selected candidates will receive a monthly scholarship of EUR 992 and other benefits.Source:daad.de,info.bangalore@daad.de,Null,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?status=&origin=&subjectGrps=&daad=&intention=&q=helmut&page=1&detail=50026397,monetary,{'Apply online link': 'https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?status=&origin=&subjectGrps=&daad=&intention=&q=helmut&page=1&detail=50026397'},"DAAD Information Centre Bangalore
403, Shah Sultan
Cunningham Road City
Bengaluru - 560052
Email ID:
info.bangalore@daad.de
| Phone Number:
+91 (96) 86276419
Individual email addresses are available in the
‘Announcement’
document."
Ohmkaram Scholarship 2025,Students of Kerala pursuing professional courses,India,31-Jul-2025,"Award of up to USD 700 (₹60,205) towards tuition fees and books","The Ohmkaram Scholarship 2025 is an opportunity provided by the Ohmkaram Foundation to students of Kerala pursuing professional courses. It aims to support the education of students from Kerala and help with their professional growth. The selected students will receive an award of up to USD 700 (₹60,205) towards tuition fees and book expenses.Source:ohmkaram.org",Null,Null,http://www.ohmkaram.org/scholarship.html,mixed,{'Apply online link': 'http://www.ohmkaram.org/scholarship.html'},"Ohmkaram Foundation
Owen Building #5-3-45, Ambedkar Road,
Sanjeev Nagar Colony, Korutla,
Jagityala District,
Telangana-505326,
India"
Rizvi Family Scholarship 2025,Female STEM applicants,India,31-Jul-2025,"A scholarship of ₹50,000","The Rizvi Family Scholarship 2025 is offered by Impactis*. It aims to empower meritorious muslim female students who want to pursue their graduation in science, technology, engineering and mathematics. Selected candidates will receive a scholarship award of ₹50,000 along with career guidance, personality development, and professional training.*Impactis is on a mission to ensure that all students, everywhere, have access to inspiration, guidance and funding. It fulfils this mission by making scholarships easy, effective and measurable to run. Currently, it is working towards making a difference in students' lives by creating scholarships on Impactis for social investors and future employers that include corporations, alumni, colleges, foundations and individuals.Source:impactisglobal.com",Null,Null,https://impactisglobal.com/s/rfs00yd24,monetary,{'Apply online link': 'https://impactisglobal.com/s/rfs00yd24'},Impactis Global Inc.
University of Surrey International Excellence Award 2025,Master’s degree applicants,United Kingdom,31-Jul-2025,"GBP 5,000 tuition fee waiver","The University of Surrey International Excellence Award 2025 is offered by the University of Surrey to support outstanding self-funded international students pursuing a full-time master’s degree at the University of Surrey. Selected candidates will receive a GBP 5,000 tuition fee waiver.Source:surrey.ac.uk",international@surrey.ac.uk,1483 300800,https://www.surrey.ac.uk/fees-and-funding/scholarships-and-bursaries/international-excellence-award-postgraduate-september-2025,tuition_waiver,{'Apply online link': 'https://www.surrey.ac.uk/fees-and-funding/scholarships-and-bursaries/international-excellence-award-postgraduate-september-2025'},"University of Surrey
Guildford, Surrey
GU2 7XH
Email ID:
international@surrey.ac.uk
| Phone Number:
+44 (0)1483 300800"
JM Sethia Merit Scholarships 2025,Indian students,India,31-Jul-2025,"A monthly scholarship of up to ₹1,000","JM Sethia Merit Scholarships 2025 is an opportunity provided by JM Sethia Charitable Trust for students passing their examinations in the current academic year. Selected candidates will receive a monthly scholarship of up to ₹1,000.Source:JMS Trust",jms_trust@yahoo.co.in,33 4040 1300,https://www.jmstrust.com/,monetary,"{'Original website': 'https://www.jmstrust.com/', 'Apply online link': 'https://www.jmstrust.com/activities.html', 'Media Link': 'https://www.buddy4study.com/scholarship/jms-trust-merit-scholarships'}","JM Sethia Charitable Trust
133, Biplabi Rash Behari Basu Road,
3rd Floor No. 15,
Kolkata - 700001, West Bengal, INDIA
Email ID:
jms_trust@yahoo.co.in
| Phone Number:
(+91) 33 4040 1300, 33 2242 1250, 93397 93153"
"Vidyadhan Plus 1 Scholarship Program, Meghalaya 2025",Class 11 and 12 school students of Meghalaya,India,31-Jul-2025,"A maximum of ₹10,000 per annum","Vidyadhan Plus 1 Scholarship Program, Meghalaya 2025 is an initiative by the Sarojini Damodaran Foundation for Class 10 passed school students of Meghalaya. The selected students will receive a maximum of ₹10,000 per annum.Source:www.vidyadhan.org",vidyadhan.meghalaya@sdfoundationindia.com,8068333500,https://www.vidyadhan.org/apply,monetary,{'Apply online link': 'https://www.vidyadhan.org/apply'},"Sarojini Damodaran Foundation
678, 11th Main Road, 4th T Block East,
4th Block, Jayanagar, Bengaluru, Karnataka - 560041
Email ID:
vidyadhan.meghalaya@sdfoundationindia.com
| Phone Number:
(+91) 8068333500"
Kent Future Student Scholarship for Indian Students 2025,Postgraduate taught applicants of full-time UK programmes,India,31-Jul-2025,"A scholarship of GBP 5,000 (₹5,77,433)","The Kent Future Student Scholarship for Indian Students 2025 is an opportunity provided by the University of Kent to postgraduate taught applicants of full-time UK programmes. This scholarship financially supports the postgraduate education of students at the university. The selected candidates will receive a scholarship of GBP 5,000 (₹5,77,433).Source:www.kent.ac.uk",international@kent.ac.uk,1227 764000,https://www.dundee.ac.uk/scholarships/gems-scholarship-september-2025https://www.kent.ac.uk/scholarships/search/FNADKFSIND01,monetary,"{'Apply online link': 'https://www.dundee.ac.uk/scholarships/gems-scholarship-september-2025https://www.kent.ac.uk/scholarships/search/FNADKFSIND01', 'Media Link': 'https://www.buddy4study.com/scholarship/kent-future-student-scholarship-for-indian-students'}","University of Kent,
Canterbury, Kent,
CT2 7N
Email ID:
international@kent.ac.uk l
Phone No.
+44 (0)1227 764000"
Jagadis Bose National Science Talent Search Senior Scholarship Test (JBNSTS) 2025,Students passed/appeared for class 12 examination in 2025,India,31-Jul-2025,"₹4,000 per month, an annual book grant of ₹5,000 for for 4/5 years & other benefits","Jagadis Bose National Science Talent Search Senior Scholarship Test (JBNSTS) 2025 is an opportunity offered by the Jagadis Bose National Science Talent Search for students who have passed or appeared for the Class 12 examination in the year 2025. This scheme caters to the development of creatively talented undergraduate students studying Basic Sciences, Engineering, and Medicine in registered institutions of West Bengal. Selected candidates will receive a scholarship of ₹4,000  per month, an annual book grant of ₹5,000 for 4/5 years & other benefits.Source:jbnsts.ac.in",jbnsts@jbnsts.ac.in,Null,https://jbnsts.ac.in/jbexam/instructionsstst2025.php,monetary,{'Apply online link': 'https://jbnsts.ac.in/jbexam/instructionsstst2025.php'},"Jagadis Bose National Science Talent Search
1300, Rajdanga Main Road
Kasba, Kolkata
West Bengal - 700107
Email ID:
jbnsts@jbnsts.ac.in
| Phone Number:
(033) 24428270"
